,date,meant
325,19020228,13.7
326,19020328,21.2
327,19020428,23.6
328,19020528,25.6
329,19020628,28
330,19020728,29.1
331,19020828,31
332,19020928,29.7
333,19021028,23.3
334,19021128,21.5
335,19021228,15.5
336,19020129,20.5
337,19020229,-999
338,19020329,19.7
339,19020429,23.6
340,19020529,25.3
341,19020629,28.3
342,19020729,29.9
343,19020829,28.3
344,19020929,28.5
345,19021029,23.6
346,19021129,18.4
347,19021229,13.3
348,19020130,17.6
349,19020230,-999
350,19020330,17.6
351,19020430,24.1
352,19020530,25.8
353,19020630,28.5
354,19020730,29.1
355,19020830,28.6
356,19020930,27.8
357,19021030,24.2
358,19021130,18.2
359,19021230,13.3
360,19020131,19.5
361,19020231,-999
362,19020331,18.2
363,19020431,-999
364,19020531,25
365,19020631,-999
366,19020731,29.5
367,19020831,29.4
368,19020931,-999
369,19021031,23.9
370,19021131,-999
371,19021231,13.5
372,19030101,11.4
373,19030201,12.3
374,19030301,22.6
375,19030401,20.7
376,19030501,26.9
377,19030601,23.6
378,19030701,27
379,19030801,30.4
380,19030901,28.4
381,19031001,27.5
382,19031101,22
383,19031201,22.3
384,19030102,13.6
385,19030202,9
386,19030302,19
387,19030402,24.3
388,19030502,28.5
389,19030602,24.1
390,19030702,28.6
391,19030802,28.7
392,19030902,28.4
393,19031002,27.7
394,19031102,24
395,19031202,24.5
396,19030103,14.7
397,19030203,8.5
398,19030303,20.6
399,19030403,21.5
400,19030503,27.8
401,19030603,25.6
402,19030703,28.4
403,19030803,26.1
404,19030903,29.5
405,19031003,27.9
406,19031103,24.7
407,19031203,24.4
408,19030104,16.8
409,19030204,9
410,19030304,16.8
411,19030404,22.1
412,19030504,27.9
413,19030604,27.6
414,19030704,29.4
415,19030804,28.2
416,19030904,30.2
417,19031004,28.1
418,19031104,19.9
419,19031204,24
420,19030105,18.4
421,19030205,13
422,19030305,12.9
423,19030405,22.6
424,19030505,29.1
425,19030605,28.7
426,19030705,29.4
427,19030805,29.1
428,19030905,30
429,19031005,27.6
430,19031105,19.2
431,19031205,22.6
432,19030106,18.6
433,19030206,14.6
434,19030306,14.7
435,19030406,23.4
436,19030506,28.8
437,19030606,30.2
438,19030706,28.9
439,19030806,29.4
440,19030906,29.5
441,19031006,25.8
442,19031106,20.9
443,19031206,18.3
444,19030107,19.1
445,19030207,15.4
446,19030307,19
447,19030407,23.9
448,19030507,30
449,19030607,27.7
450,19030707,28.8
451,19030807,30.7
452,19030907,29.7
453,19031007,27.3
454,19031107,21.1
455,19031207,14.3
456,19030108,18.8
457,19030208,15.7
458,19030308,21.3
459,19030408,26.3
460,19030508,27.1
461,19030608,26.1
462,19030708,29.5
463,19030808,28.5
464,19030908,30.1
465,19031008,27.2
466,19031108,21.8
467,19031208,18.5
468,19030109,18.1
469,19030209,16.1
470,19030309,22.8
471,19030409,27
472,19030509,28.1
473,19030609,26.6
474,19030709,29.4
475,19030809,30
476,19030909,28.9
477,19031009,26.6
478,19031109,23
479,19031209,16.4
480,19030110,19.1
481,19030210,17
482,19030310,21.1
483,19030410,21.8
484,19030510,28.9
485,19030610,27.4
486,19030710,29.2
487,19030810,27.4
488,19030910,27.8
489,19031010,26.9
490,19031110,21.6
491,19031210,18.7
492,19030111,18.5
493,19030211,16.7
494,19030311,19.4
495,19030411,16.7
496,19030511,24.5
497,19030611,25.8
498,19030711,28.7
499,19030811,27.6
500,19030911,28
501,19031011,24.3
502,19031111,20
503,19031211,20.8
504,19030112,19.9
505,19030212,16.7
506,19030312,21
507,19030412,15.3
508,19030512,23.9
509,19030612,26
510,19030712,27
511,19030812,26
512,19030912,29.6
513,19031012,24.3
514,19031112,19.9
515,19031212,17.1
516,19030113,20.6
517,19030213,17.3
518,19030313,22.9
519,19030413,18.5
520,19030513,24.4
521,19030613,26.6
522,19030713,27.1
523,19030813,27
524,19030913,29.4
525,19031013,24.3
526,19031113,21.7
527,19031213,14.3
528,19030114,20
529,19030214,16.1
530,19030314,21.1
531,19030414,20.6
532,19030514,27
533,19030614,27.7
534,19030714,28.4
535,19030814,27.9
536,19030914,30.1
537,19031014,24.6
538,19031114,24
539,19031214,15
540,19030115,19
541,19030215,16.7
542,19030315,22.1
543,19030415,22.5
544,19030515,27.7
545,19030615,27.7
546,19030715,28.2
547,19030815,28.4
548,19030915,29.9
549,19031015,25.3
550,19031115,21.7
551,19031215,17.5
552,19030116,20.3
553,19030216,18.4
554,19030316,23.4
555,19030416,24.3
556,19030516,26.2
557,19030616,28.9
558,19030716,28.9
559,19030816,28.7
560,19030916,30.2
561,19031016,24.2
562,19031116,18.3
563,19031216,19.5
564,19030117,20.9
565,19030217,19.3
566,19030317,23.8
567,19030417,24.9
568,19030517,26.6
569,19030617,29.3
570,19030717,29.4
571,19030817,29.5
572,19030917,29.3
573,19031017,23.9
574,19031117,17.6
575,19031217,19.2
576,19030118,19.9
577,19030218,18.5
578,19030318,23.5
579,19030418,26.1
580,19030518,25.8
581,19030618,30.1
582,19030718,26.4
583,19030818,29.8
584,19030918,29.6
585,19031018,23.7
586,19031118,18.7
587,19031218,18.5
588,19030119,19.3
589,19030219,19.2
590,19030319,24.6
591,19030419,26.2
592,19030519,27.7
593,19030619,30.1
594,19030719,27.8
595,19030819,30.4
596,19030919,29.9
597,19031019,23.4
598,19031119,21.2
599,19031219,15.9
600,19030120,18.7
601,19030220,19
602,19030320,24.7
603,19030420,24.4
604,19030520,26
605,19030620,30
606,19030720,28.5
607,19030820,29.9
608,19030920,30.3
609,19031020,23.7
610,19031120,22.9
611,19031220,17.9
612,19030121,20.1
613,19030221,18.7
614,19030321,24.7
615,19030421,25.7
616,19030521,27.3
617,19030621,28.8
618,19030721,29.4
619,19030821,29.2
620,19030921,30
621,19031021,23.7
622,19031121,23
623,19031221,16.9
624,19030122,20.4
625,19030222,18
626,19030322,23.5
627,19030422,26.9
628,19030522,28.4
629,19030622,28.7
630,19030722,29.3
631,19030822,30
632,19030922,31.2
633,19031022,23.8
634,19031122,23.2
635,19031222,18.2
636,19030123,19.4
637,19030223,19.4
638,19030323,22.5
639,19030423,27.6
640,19030523,27.9
641,19030623,29.4
642,19030723,29.8
643,19030823,29.9
644,19030923,30.4
645,19031023,25.8
646,19031123,21.9
647,19031223,17.7
648,19030124,19.2
649,19030224,20.1
650,19030324,21.3
651,19030424,28
652,19030524,27.6
653,19030624,30.6
654,19030724,29.7
655,19030824,29.5
656,19030924,29.4
657,19031024,25.4
658,19031124,18.7
659,19031224,15.8
660,19030125,18.5
661,19030225,21.3
662,19030325,17
663,19030425,28.5
664,19030525,27.1
665,19030625,30.4
666,19030725,30.1
667,19030825,27.4
668,19030925,23.9
669,19031025,23.8
670,19031125,19.6
671,19031225,14
672,19030126,18.3
673,19030226,20.4
674,19030326,17.9
675,19030426,28
676,19030526,27.8
677,19030626,29.5
678,19030726,31.7
679,19030826,28.7
680,19030926,25.8
681,19031026,25.2
682,19031126,20.1
683,19031226,14.3
684,19030127,18.8
685,19030227,20.1
686,19030327,18.4
687,19030427,27.7
688,19030527,27.3
689,19030627,26.4
690,19030727,30.1
691,19030827,30.1
692,19030927,25.5
693,19031027,25.2
694,19031127,20.7
695,19031227,14.7
696,19030128,18.8
697,19030228,21.6
698,19030328,20.5
699,19030428,27.8
700,19030528,26.1
701,19030628,26.8
702,19030728,27
703,19030828,29.8
704,19030928,25.7
705,19031028,25.5
706,19031128,19.9
707,19031228,16.9
708,19030129,18.2
709,19030229,-999
710,19030329,22
711,19030429,27.9
712,19030529,27.8
713,19030629,26.1
714,19030729,27.3
715,19030829,29.7
716,19030929,27.6
717,19031029,26.3
718,19031129,20.9
719,19031229,16.2
720,19030130,19
721,19030230,-999
722,19030330,22.9
723,19030430,26.6
724,19030530,28.7
725,19030630,25.7
726,19030730,28.2
727,19030830,29.9
728,19030930,27.2
729,19031030,23.2
730,19031130,20.7
731,19031230,19.9
732,19030131,19.9
733,19030231,-999
734,19030331,20
735,19030431,-999
736,19030531,26.9
737,19030631,-999
738,19030731,28.8
739,19030831,29.6
740,19030931,-999
741,19031031,20.1
742,19031131,-999
743,19031231,17.6
744,19040101,16.6
745,19040201,5.4
746,19040301,14.8
747,19040401,24.3
748,19040501,19.7
749,19040601,28.9
750,19040701,27
751,19040801,29.7
752,19040901,25.5
753,19041001,27
754,19041101,18.3
755,19041201,14.9
756,19040102,16.1
757,19040202,4.9
758,19040302,16.3
759,19040402,22
760,19040502,20.4
761,19040602,28.8
762,19040702,27
763,19040802,29.9
764,19040902,24.6
765,19041002,27.1
766,19041102,19.6
767,19041202,15.9
768,19040103,15.3
769,19040203,7.1
770,19040303,17.5
771,19040403,17
772,19040503,22.7
773,19040603,30.6
774,19040703,28
775,19040803,28.9
776,19040903,24.6
777,19041003,27.4
778,19041103,20
779,19041203,15.4
780,19040104,12.1
781,19040204,9.2
782,19040304,19.3
783,19040404,18.6
784,19040504,23.3
785,19040604,28.3
786,19040704,28.1
787,19040804,28.7
788,19040904,25
789,19041004,26.1
790,19041104,21.5
791,19041204,11.5
792,19040105,10.9
793,19040205,11.9
794,19040305,20.7
795,19040405,19.8
796,19040505,22.6
797,19040605,27.2
798,19040705,28.4
799,19040805,29.3
800,19040905,26.1
801,19041005,26.5
802,19041105,22.5
803,19041205,12.8
804,19040106,11.2
805,19040206,13
806,19040306,17.7
807,19040406,20.7
808,19040506,23.1
809,19040606,28.1
810,19040706,29
811,19040806,30.1
812,19040906,24.5
813,19041006,26.9
814,19041106,24.1
815,19041206,14.3
816,19040107,11.1
817,19040207,13.2
818,19040307,17.4
819,19040407,20.8
820,19040507,24.6
821,19040607,28.7
822,19040707,28.7
823,19040807,29.2
824,19040907,25.3
825,19041007,25.7
826,19041107,22.3
827,19041207,14.4
828,19040108,13.1
829,19040208,11.8
830,19040308,18.4
831,19040408,22.1
832,19040508,21.8
833,19040608,29
834,19040708,28.6
835,19040808,27
836,19040908,25.8
837,19041008,25.2
838,19041108,20.9
839,19041208,15.6
840,19040109,13.8
841,19040209,12.2
842,19040309,19.8
843,19040409,22.8
844,19040509,22.9
845,19040609,29
846,19040709,27.3
847,19040809,26.1
848,19040909,24.6
849,19041009,24.3
850,19041109,21
851,19041209,17
852,19040110,8.2
853,19040210,14.4
854,19040310,21.8
855,19040410,23.7
856,19040510,23.2
857,19040610,29
